Run,TrajectoryPositionNoise,Protocol,Metric,Value
5,0,LW-Sync,Offset,159.222
5,0,LW-Sync,Skew,5.64912
3,0,LW-Sync,Offset,106.602
3,0,LW-Sync,Skew,46.422
1,0,LW-Sync,Offset,139.184
1,0,LW-Sync,Skew,7.62933
4,0,LW-Sync,Offset,142.417
4,0,LW-Sync,Skew,8.97282
6,0,LW-Sync,Offset,138.765
6,0,LW-Sync,Skew,20.9421
2,0,LW-Sync,Offset,173.972
2,0,LW-Sync,Skew,14.7519
9,0,LW-Sync,Offset,131.1
9,0,LW-Sync,Skew,89.7482
7,0,LW-Sync,Offset,140.904
7,0,LW-Sync,Skew,16.9818
10,0,LW-Sync,Offset,116.888
10,0,LW-Sync,Skew,4.2742
8,0,LW-Sync,Offset,169.723
8,0,LW-Sync,Skew,55.0299
11,0,LW-Sync,Offset,116.159
11,0,LW-Sync,Skew,23.8126
12,0,LW-Sync,Offset,120.047
12,0,LW-Sync,Skew,6.85082
13,0,LW-Sync,Offset,173.476
13,0,LW-Sync,Skew,29.1008
14,0,LW-Sync,Offset,116.291
14,0,LW-Sync,Skew,28.0708
16,0,LW-Sync,Offset,124.876
16,0,LW-Sync,Skew,23.7637
15,0,LW-Sync,Offset,123.45
15,0,LW-Sync,Skew,32.367
17,0,LW-Sync,Offset,125.97
17,0,LW-Sync,Skew,0.453953
20,0,LW-Sync,Offset,162.538
20,0,LW-Sync,Skew,44.4461
18,0,LW-Sync,Offset,135.567
18,0,LW-Sync,Skew,20.6516
19,0,LW-Sync,Offset,78.9716
19,0,LW-Sync,Skew,10.5297
23,0,LW-Sync,Offset,172.984
23,0,LW-Sync,Skew,30.8774
22,0,LW-Sync,Offset,169.632
22,0,LW-Sync,Skew,38.647
21,0,LW-Sync,Offset,131.822
21,0,LW-Sync,Skew,15.0234
24,0,LW-Sync,Offset,137.106
24,0,LW-Sync,Skew,14.9222
25,0,LW-Sync,Offset,96.0446
25,0,LW-Sync,Skew,0.560441
26,0,LW-Sync,Offset,112.395
26,0,LW-Sync,Skew,40.8456
27,0,LW-Sync,Offset,161.185
27,0,LW-Sync,Skew,30.148
28,0,LW-Sync,Offset,137.994
28,0,LW-Sync,Skew,2.72134
29,0,LW-Sync,Offset,145.699
29,0,LW-Sync,Skew,32.2639
30,0,LW-Sync,Offset,174.252
30,0,LW-Sync,Skew,50.9065
32,0,LW-Sync,Offset,129.389
32,0,LW-Sync,Skew,18.835
31,0,LW-Sync,Offset,146.037
31,0,LW-Sync,Skew,28.3567
33,0,LW-Sync,Offset,184.5
33,0,LW-Sync,Skew,5.71315
34,0,LW-Sync,Offset,134.649
34,0,LW-Sync,Skew,71.8487
35,0,LW-Sync,Offset,128.989
35,0,LW-Sync,Skew,28.0758
37,0,LW-Sync,Offset,169.127
37,0,LW-Sync,Skew,72.4086
40,0,LW-Sync,Offset,93.071
40,0,LW-Sync,Skew,22.9063
36,0,LW-Sync,Offset,134.148
36,0,LW-Sync,Skew,7.9493
41,0,LW-Sync,Offset,107.437
41,0,LW-Sync,Skew,7.56965
38,0,LW-Sync,Offset,146.05
38,0,LW-Sync,Skew,77.3941
39,0,LW-Sync,Offset,73.46
39,0,LW-Sync,Skew,19.2767
43,0,LW-Sync,Offset,161.149
43,0,LW-Sync,Skew,31.197
42,0,LW-Sync,Offset,102.25
42,0,LW-Sync,Skew,11.2791
45,0,LW-Sync,Offset,130.759
45,0,LW-Sync,Skew,42.4953
44,0,LW-Sync,Offset,114.953
44,0,LW-Sync,Skew,10.893
46,0,LW-Sync,Offset,125.152
46,0,LW-Sync,Skew,1.51982
47,0,LW-Sync,Offset,143.29
47,0,LW-Sync,Skew,46.7929
50,0,LW-Sync,Offset,139.448
50,0,LW-Sync,Skew,5.27273
51,0,LW-Sync,Offset,109.33
51,0,LW-Sync,Skew,58.2855
48,0,LW-Sync,Offset,107.623
48,0,LW-Sync,Skew,31.7335
49,0,LW-Sync,Offset,131.58
49,0,LW-Sync,Skew,8.21539
52,0,LW-Sync,Offset,149.212
52,0,LW-Sync,Skew,9.15436
53,0,LW-Sync,Offset,155.24
53,0,LW-Sync,Skew,12.3302
54,0,LW-Sync,Offset,203.307
54,0,LW-Sync,Skew,20.4032
55,0,LW-Sync,Offset,124.954
55,0,LW-Sync,Skew,7.24054
56,0,LW-Sync,Offset,111.966
56,0,LW-Sync,Skew,49.4349
57,0,LW-Sync,Offset,159.957
57,0,LW-Sync,Skew,58.8131
58,0,LW-Sync,Offset,159.083
58,0,LW-Sync,Skew,54.8002
59,0,LW-Sync,Offset,113.668
59,0,LW-Sync,Skew,36.6991
61,0,LW-Sync,Offset,141.867
61,0,LW-Sync,Skew,37.573
60,0,LW-Sync,Offset,99.8936
60,0,LW-Sync,Skew,24.7003
64,0,LW-Sync,Offset,150.905
64,0,LW-Sync,Skew,26.222
65,0,LW-Sync,Offset,117.954
65,0,LW-Sync,Skew,65.0588
62,0,LW-Sync,Offset,146.695
62,0,LW-Sync,Skew,39.8989
66,0,LW-Sync,Offset,140.151
66,0,LW-Sync,Skew,13.2457
63,0,LW-Sync,Offset,149.677
63,0,LW-Sync,Skew,10.1206
68,0,LW-Sync,Offset,131.929
68,0,LW-Sync,Skew,51.2679
69,0,LW-Sync,Offset,117.955
69,0,LW-Sync,Skew,93.5181
67,0,LW-Sync,Offset,153.212
67,0,LW-Sync,Skew,71.7672
70,0,LW-Sync,Offset,122.634
70,0,LW-Sync,Skew,76.7108
72,0,LW-Sync,Offset,134.409
72,0,LW-Sync,Skew,102.107
71,0,LW-Sync,Offset,121.979
71,0,LW-Sync,Skew,27.651
74,0,LW-Sync,Offset,120.796
74,0,LW-Sync,Skew,5.46938
77,0,LW-Sync,Offset,152.964
77,0,LW-Sync,Skew,51.8144
78,0,LW-Sync,Offset,144.906
78,0,LW-Sync,Skew,25.1506
73,0,LW-Sync,Offset,134.899
73,0,LW-Sync,Skew,31.3583
76,0,LW-Sync,Offset,137.723
76,0,LW-Sync,Skew,46.4439
75,0,LW-Sync,Offset,133.226
75,0,LW-Sync,Skew,31.9721
80,0,LW-Sync,Offset,105.463
80,0,LW-Sync,Skew,83.8524
82,0,LW-Sync,Offset,185.486
82,0,LW-Sync,Skew,64.269
79,0,LW-Sync,Offset,180.132
79,0,LW-Sync,Skew,17.4424
81,0,LW-Sync,Offset,153.478
81,0,LW-Sync,Skew,17.5971
83,0,LW-Sync,Offset,122.271
83,0,LW-Sync,Skew,14.9839
84,0,LW-Sync,Offset,162.035
84,0,LW-Sync,Skew,64.7505
85,0,LW-Sync,Offset,155.156
85,0,LW-Sync,Skew,100.393
89,0,LW-Sync,Offset,134.229
89,0,LW-Sync,Skew,14.932
88,0,LW-Sync,Offset,127.353
88,0,LW-Sync,Skew,3.57669
87,0,LW-Sync,Offset,105.471
87,0,LW-Sync,Skew,29.7055
86,0,LW-Sync,Offset,145.087
86,0,LW-Sync,Skew,28.1492
90,0,LW-Sync,Offset,164.788
90,0,LW-Sync,Skew,21.9831
91,0,LW-Sync,Offset,142.827
91,0,LW-Sync,Skew,46.6741
92,0,LW-Sync,Offset,180.849
92,0,LW-Sync,Skew,17.581
93,0,LW-Sync,Offset,161.569
93,0,LW-Sync,Skew,89.9385
95,0,LW-Sync,Offset,170.285
95,0,LW-Sync,Skew,47.015
98,0,LW-Sync,Offset,176.065
98,0,LW-Sync,Skew,56.135
97,0,LW-Sync,Offset,156.726
97,0,LW-Sync,Skew,64.4632
94,0,LW-Sync,Offset,112.773
94,0,LW-Sync,Skew,26.7105
96,0,LW-Sync,Offset,144.88
96,0,LW-Sync,Skew,30.5999
99,0,LW-Sync,Offset,134.822
99,0,LW-Sync,Skew,84.4398
100,0,LW-Sync,Offset,96.9695
100,0,LW-Sync,Skew,44.3148
102,0,LW-Sync,Offset,187.179
102,0,LW-Sync,Skew,15.0365
103,0,LW-Sync,Offset,151.523
103,0,LW-Sync,Skew,23.3643
104,0,LW-Sync,Offset,171.537
104,0,LW-Sync,Skew,87.8197
105,0,LW-Sync,Offset,132.222
105,0,LW-Sync,Skew,32.7637
101,0,LW-Sync,Offset,134.766
101,0,LW-Sync,Skew,88.7933
106,0,LW-Sync,Offset,130.515
106,0,LW-Sync,Skew,13.4647
110,0,LW-Sync,Offset,159.075
110,0,LW-Sync,Skew,51.7376
109,0,LW-Sync,Offset,139.618
109,0,LW-Sync,Skew,1.0799
107,0,LW-Sync,Offset,160.419
107,0,LW-Sync,Skew,39.552
108,0,LW-Sync,Offset,80.2246
108,0,LW-Sync,Skew,76.7902
111,0,LW-Sync,Offset,154.808
111,0,LW-Sync,Skew,1.01597
113,0,LW-Sync,Offset,142.202
113,0,LW-Sync,Skew,30.4541
112,0,LW-Sync,Offset,163.141
112,0,LW-Sync,Skew,12.098
114,0,LW-Sync,Offset,173.365
114,0,LW-Sync,Skew,65.0589
