Run,Velocity,Protocol,Metric,Value
2,0.5,LW-Sync,Offset,173.488
2,0.5,LW-Sync,Skew,14.7669
3,0.5,LW-Sync,Offset,106.156
3,0.5,LW-Sync,Skew,46.4681
4,0.5,LW-Sync,Offset,142.004
4,0.5,LW-Sync,Skew,8.98153
6,0.5,LW-Sync,Offset,138.31
6,0.5,LW-Sync,Skew,20.9628
5,0.5,LW-Sync,Offset,158.731
5,0.5,LW-Sync,Skew,5.65502
1,0.5,LW-Sync,Offset,138.738
1,0.5,LW-Sync,Skew,7.63721
7,0.5,LW-Sync,Offset,140.364
7,0.5,LW-Sync,Skew,16.999
8,0.5,LW-Sync,Offset,169.163
8,0.5,LW-Sync,Skew,55.0851
11,0.5,LW-Sync,Offset,115.66
11,0.5,LW-Sync,Skew,23.8366
10,0.5,LW-Sync,Offset,116.435
10,0.5,LW-Sync,Skew,4.27822
9,0.5,LW-Sync,Offset,130.583
9,0.5,LW-Sync,Skew,89.8382
12,0.5,LW-Sync,Offset,119.535
12,0.5,LW-Sync,Skew,6.85742
14,0.5,LW-Sync,Offset,115.875
14,0.5,LW-Sync,Skew,28.0992
15,0.5,LW-Sync,Offset,123.02
15,0.5,LW-Sync,Skew,32.3996
13,0.5,LW-Sync,Offset,172.928
13,0.5,LW-Sync,Skew,29.1297
17,0.5,LW-Sync,Offset,125.488
17,0.5,LW-Sync,Skew,0.454658
16,0.5,LW-Sync,Offset,124.418
16,0.5,LW-Sync,Skew,23.7872
18,0.5,LW-Sync,Offset,135.063
18,0.5,LW-Sync,Skew,20.6725
19,0.5,LW-Sync,Offset,78.6008
19,0.5,LW-Sync,Skew,10.5405
20,0.5,LW-Sync,Offset,161.987
20,0.5,LW-Sync,Skew,44.4903
21,0.5,LW-Sync,Offset,131.32
21,0.5,LW-Sync,Skew,15.0387
22,0.5,LW-Sync,Offset,169.072
22,0.5,LW-Sync,Skew,38.6859
23,0.5,LW-Sync,Offset,172.441
23,0.5,LW-Sync,Skew,30.9085
24,0.5,LW-Sync,Offset,136.707
24,0.5,LW-Sync,Skew,14.9374
25,0.5,LW-Sync,Offset,95.6257
25,0.5,LW-Sync,Skew,0.56075
26,0.5,LW-Sync,Offset,111.968
26,0.5,LW-Sync,Skew,40.8862
28,0.5,LW-Sync,Offset,137.532
28,0.5,LW-Sync,Skew,2.72432
27,0.5,LW-Sync,Offset,160.68
27,0.5,LW-Sync,Skew,30.1779
29,0.5,LW-Sync,Offset,145.175
29,0.5,LW-Sync,Skew,32.2959
30,0.5,LW-Sync,Offset,173.751
30,0.5,LW-Sync,Skew,50.9576
31,0.5,LW-Sync,Offset,145.517
31,0.5,LW-Sync,Skew,28.3853
32,0.5,LW-Sync,Offset,128.914
32,0.5,LW-Sync,Skew,18.8536
33,0.5,LW-Sync,Offset,183.972
33,0.5,LW-Sync,Skew,5.71912
34,0.5,LW-Sync,Offset,134.185
34,0.5,LW-Sync,Skew,71.9203
35,0.5,LW-Sync,Offset,128.529
35,0.5,LW-Sync,Skew,28.1036
36,0.5,LW-Sync,Offset,133.616
36,0.5,LW-Sync,Skew,7.95699
38,0.5,LW-Sync,Offset,145.608
38,0.5,LW-Sync,Skew,77.4712
39,0.5,LW-Sync,Offset,73.1654
39,0.5,LW-Sync,Skew,19.2962
37,0.5,LW-Sync,Offset,168.609
37,0.5,LW-Sync,Skew,72.4808
40,0.5,LW-Sync,Offset,92.6449
40,0.5,LW-Sync,Skew,22.9294
41,0.5,LW-Sync,Offset,107.007
41,0.5,LW-Sync,Skew,7.57697
42,0.5,LW-Sync,Offset,101.825
42,0.5,LW-Sync,Skew,11.2901
43,0.5,LW-Sync,Offset,160.591
43,0.5,LW-Sync,Skew,31.2285
46,0.5,LW-Sync,Offset,124.672
46,0.5,LW-Sync,Skew,1.52108
44,0.5,LW-Sync,Offset,114.57
44,0.5,LW-Sync,Skew,10.9042
45,0.5,LW-Sync,Offset,130.272
45,0.5,LW-Sync,Skew,42.5376
47,0.5,LW-Sync,Offset,142.754
47,0.5,LW-Sync,Skew,46.8394
48,0.5,LW-Sync,Offset,107.206
48,0.5,LW-Sync,Skew,31.7655
49,0.5,LW-Sync,Offset,131.148
49,0.5,LW-Sync,Skew,8.22385
50,0.5,LW-Sync,Offset,138.984
50,0.5,LW-Sync,Skew,5.27775
51,0.5,LW-Sync,Offset,108.923
51,0.5,LW-Sync,Skew,58.3441
53,0.5,LW-Sync,Offset,154.862
53,0.5,LW-Sync,Skew,12.3428
52,0.5,LW-Sync,Offset,148.742
52,0.5,LW-Sync,Skew,9.16376
54,0.5,LW-Sync,Offset,202.718
54,0.5,LW-Sync,Skew,20.4238
55,0.5,LW-Sync,Offset,124.461
55,0.5,LW-Sync,Skew,7.24803
56,0.5,LW-Sync,Offset,111.577
56,0.5,LW-Sync,Skew,49.4846
58,0.5,LW-Sync,Offset,158.525
58,0.5,LW-Sync,Skew,54.8547
59,0.5,LW-Sync,Offset,113.298
59,0.5,LW-Sync,Skew,36.7355
60,0.5,LW-Sync,Offset,99.5112
60,0.5,LW-Sync,Skew,24.7253
57,0.5,LW-Sync,Offset,159.416
57,0.5,LW-Sync,Skew,58.8717
61,0.5,LW-Sync,Offset,141.334
61,0.5,LW-Sync,Skew,37.6108
62,0.5,LW-Sync,Offset,146.236
62,0.5,LW-Sync,Skew,39.9386
63,0.5,LW-Sync,Offset,149.11
63,0.5,LW-Sync,Skew,10.131
64,0.5,LW-Sync,Offset,150.343
64,0.5,LW-Sync,Skew,26.2485
